OFFICE TYPE	SITE NAME	ADDRESS	SUBURB	STATE	POSTCODE	LATITUDE	LONGITUDE	Geo Coordinate
Centrelink Customer Service Centre	Albury	430 Wilson Street	Albury	NSW	2640	-36.07727	146.9237	-36.07727;146.9237
Centrelink Customer Service Centre	Seniors & Carers Perth	81 St Georges Terrace	Perth	WA	6000	-31.95516	115.85766	-31.95516;115.85766
Centrelink Customer Service Centre	Townsville Jobseekers	307 Ross River Road	Aitkenvale	QLD	4814	-19.29713	146.76441	-19.29713;146.76441
Centrelink Customer Service Centre	Albany	15 Peels Place	Albany	WA	6330	-35.02591	117.88466	-35.02591;117.88466
Centrelink Customer Service Centre	Alice Springs	5 Railway Terrace	Alice Springs	NT	870	-23.6959	133.88036	-23.6959;133.88036
Centrelink Customer Service Centre	Tangentyere	4 Elder Street	Alice Springs	NT	870	-23.69924	133.87184	-23.69924;133.87184
Centrelink Customer Service Centre	Armadale (WA)	40-42 William Street	Armadale	WA	6112	-32.15567	116.01372	-32.15567;116.01372
Centrelink Customer Service Centre	Ararat	45-47 King Street (Cnr King & High Sts)	Ararat	VIC	3377	-37.28326	142.93661	-37.28326;142.93661
Centrelink Customer Service Centre	Seniors & Carers Robina	"Level 5, Robina Town Centre, 19-33 Robina Town Centre Dve"	Robina	QLD	4230	-28.07749	153.38539	-28.07749;153.38539
Centrelink Customer Service Centre	Armidale (NSW)	246-248 Beardy Street	Armidale	NSW	2350	-30.51246	151.66191	-30.51246;151.66191
Centrelink Customer Service Centre	Atherton	3 Cook Street	Atherton	QLD	4883	-17.26322	145.47927	-17.26322;145.47927
Centrelink Customer Service Centre	Auburn	5-9 Macquarie Road	Auburn	NSW	2144	-33.84777	151.03332	-33.84777;151.03332
Centrelink Customer Service Centre	Ayr	100 MacMillan Street	Ayr	QLD	4807	-19.57682	147.4066	-19.57682;147.4066
Centrelink Customer Service Centre	Ballarat	4-12 Albert Street	Ballarat	VIC	3350	-37.56333	143.85849	-37.56333;143.85849
Centrelink Customer Service Centre	Bankstown	"G, L1 & 4, 2-14 Meredith Street"	Bankstown	NSW	2200	-33.9172	151.03111	-33.9172;151.03111
Centrelink Customer Service Centre	Baulkham Hills	7 Seven Hills Road	Baulkham Hills	NSW	2153	-33.76209	150.99159	-33.76209;150.99159
Centrelink Customer Service Centre	Bundaberg	26 Woongarra Street	Bundaberg	QLD	4670	-24.86614	152.35411	-24.86614;152.35411
Centrelink Customer Service Centre	Beaudesert	33 William Street	Beaudesert	QLD	4285	-27.99026	152.99889	-27.99026;152.99889
Centrelink Customer Service Centre	Beenleigh	Stock Yard Lane	Beenleigh	QLD	4207	-27.71957	153.20658	-27.71957;153.20658
Centrelink Customer Service Centre	Bega	49-61 Church Street	Bega	NSW	2550	-36.6737	149.8417	-36.6737;149.8417
Centrelink Customer Service Centre	Bendigo	231-245 Lyttleton Terrace	Bendigo	VIC	3550	-36.7595	144.28262	-36.7595;144.28262
Centrelink Customer Service Centre	Berri	5 Riverview Drive	Berri	SA	5343	-34.28789	140.60191	-34.28789;140.60191
Centrelink Customer Service Centre	Bathurst	166 -168 Russell St	Bathurst	NSW	2795	-33.41674	149.57715	-33.41674;149.57715
Centrelink Customer Service Centre	Burnie	23 Marine Terrace	Burnie	TAS	7320	-41.05438	145.90715	-41.05438;145.90715
Centrelink Customer Service Centre	Biggera Waters	95 Brisbane Street	Biggera Waters	QLD	4216	-27.93545	153.39615	-27.93545;153.39615
Centrelink Customer Service Centre	Biloela	49 Grevillea Street	Biloela	QLD	4715	-24.40099	150.51371	-24.40099;150.51371
Centrelink Customer Service Centre	Broken Hill	180 Beryl Street	Broken Hill	NSW	2880	-31.95784	141.46209	-31.95784;141.46209
Centrelink Customer Service Centre	Blacktown	8 First Avenue (ground floor)	Blacktown	NSW	2148	-33.76838	150.9111	-33.76838;150.9111
Centrelink Customer Service Centre	Belconnen	"Level 1, Northpoint Plaza 8 Chandler Street"	Belconnen	ACT	2617	-35.23784	149.06879	-35.23784;149.06879
Centrelink Customer Service Centre	Belgrave	1657-1661 Burwood Highway	Belgrave	VIC	3160	-37.90906	145.35402	-37.90906;145.35402
Centrelink Customer Service Centre	Ballina	117-121 Tamar Street	Ballina	NSW	2478	-28.86713	153.55671	-28.86713;153.55671
Centrelink Customer Service Centre	Batemans Bay	3 Flora Cresent	Batemans Bay	NSW	2536	-35.70976	150.17865	-35.70976;150.17865
Centrelink Customer Service Centre	Broome	14 Napier Terrace	Broome	WA	6725	-17.95464	122.24006	-17.95464;122.24006
Centrelink Customer Service Centre	Bondi Junction	19-23 Hollywood Avenue	Bondi Junction	NSW	2022	-33.89365	151.25128	-33.89365;151.25128
Centrelink Customer Service Centre	Boronia	3 William Street	Boronia	VIC	3155	-37.85891	145.28449	-37.85891;145.28449
Centrelink Customer Service Centre	Bowen	53 George Street 	Bowen	QLD	4805	-20.01501	148.24674	-20.01501;148.24674
Centrelink Customer Service Centre	Bairnsdale	60-62 MacLeod Street	Bairnsdale	VIC	3875	-37.82674	147.63355	-37.82674;147.63355
Centrelink Customer Service Centre	Bourke	16 Richard Street	Bourke	NSW	2840	-30.09117	145.93728	-30.09117;145.93728
Centrelink Customer Service Centre	Bowral	38 Wingecarribee Street	Bowral	NSW	2576	-34.47863	150.41925	-34.47863;150.41925
Centrelink Customer Service Centre	Brunswick Heads	3 Fingal Street	Brunswick Heads	NSW	2483	-28.54037	153.55171	-28.54037;153.55171
Centrelink Customer Service Centre	Browns Plains	75-87 Grand Plaza Drive	Browns Plains	QLD	4118	-27.66424	153.04325	-27.66424;153.04325
Centrelink Customer Service Centre	Moreland	172-186 Moreland Road (ground floor)	Brunswick	VIC	3056	-37.75575	144.96322	-37.75575;144.96322
Centrelink Customer Service Centre	Busselton	65 Duchess Street	Busselton	WA	6280	-33.64833	115.34546	-33.64833;115.34546
Centrelink Customer Service Centre	Burwood	56 Railway Parade	Burwood	NSW	2134	-33.877	151.1009	-33.877;151.1009
Centrelink Customer Service Centre	Bunbury	54-56 Wittenoom Street	Bunbury	WA	6230	-33.32394	115.63525	-33.32394;115.63525
Centrelink Customer Service Centre	Rosny Park	2 Gordons Hill Road	Rosny Park	TAS	7018	-42.86619	147.37231	-42.86619;147.37231
